LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
437,DORCHESTER ST,42.33686889,-71.04379437,C6,South Boston
438,FAIRMOUNT AVE,42.2539599,-71.11962283,E18,Hyde Park
439,COMMONWEALTH AVE,42.34251263,-71.14363495,D14,Brighton
440,GLEN ST,42.31282319,-71.06746355,C11,Dorchester
441,BURNEY ST,42.33188687,-71.0995439,B2,Roxbury
442,FAWNDALE RD,42.29011783,-71.12187904,E5,West Roxbury
443,SOUTHMERE RD,42.27038654,-71.08451378,B3,Mattapan
444,CUMMINS HWY,42.27645319,-71.11297971,E18,Hyde Park
446,BLUE HILL AVE,42.3160569,-71.07820017,B2,Roxbury
447,ALLSTON ST,42.35042346,-71.13638086,D14,Brighton
448,FANEUIL ST,42.35555336,-71.15274721,D14,Brighton
449,SLEEPER ST,42.35217524,-71.04913425,C6,South Boston
450,BLUE HILL AVE,42.31162834,-71.08094294,B2,Roxbury
452,SHANDON RD,42.29505434,-71.08904077,B3,Mattapan
453,HEATHCOTE ST,42.28166155,-71.12591039,E5,West Roxbury
454,HANCOCK ST,42.310434,-71.0613401,C11,Dorchester
455,EDGEMERE RD,42.25867638,-71.15116479,E5,West Roxbury
